Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
ENGL 140,2022-09-12,12:05 PM,2022-09-12,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-09-19,12:05 PM,2022-09-19,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-09-26,12:05 PM,2022-09-26,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-03,12:05 PM,2022-10-03,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-10,12:05 PM,2022-10-10,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-17,12:05 PM,2022-10-17,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-24,12:05 PM,2022-10-24,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-10-31,12:05 PM,2022-10-31,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-07,12:05 PM,2022-11-07,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-14,12:05 PM,2022-11-14,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-21,12:05 PM,2022-11-21,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-11-28,12:05 PM,2022-11-28,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-12-05,12:05 PM,2022-12-05,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-12-12,12:05 PM,2022-12-12,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
ENGL 140,2022-12-19,12:05 PM,2022-12-19,12:55 PM,FALSE,DIS for ENGL 140,7117 Helen C. White Hall,FALSE
COMP SCI 540,2022-09-13,11:00 AM,2022-09-13,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-09-20,11:00 AM,2022-09-20,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-09-27,11:00 AM,2022-09-27,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-04,11:00 AM,2022-10-04,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-11,11:00 AM,2022-10-11,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-18,11:00 AM,2022-10-18,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-25,11:00 AM,2022-10-25,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-01,11:00 AM,2022-11-01,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-08,11:00 AM,2022-11-08,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-15,11:00 AM,2022-11-15,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-22,11:00 AM,2022-11-22,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-29,11:00 AM,2022-11-29,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-12-06,11:00 AM,2022-12-06,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-12-13,11:00 AM,2022-12-13,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-12-20,11:00 AM,2022-12-20,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 577,2022-09-13,1:00 PM,2022-09-13,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-09-20,1:00 PM,2022-09-20,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-09-27,1:00 PM,2022-09-27,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-10-04,1:00 PM,2022-10-04,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
